GEOID20,county,mep_published,mep_harm_lo,mep_harm_hi,rank_published,rank_harm
120570044001,Hillsborough,18198.4286,12945.8597,12920.1144,32,19
120570044002,Hillsborough,17787.7300,12279.1949,12252.3901,41,102
120570044003,Hillsborough,18713.0344,12867.9766,12839.2790,25,29
120570045001,Hillsborough,17357.7710,12213.5525,12188.2951,56,105
120570045002,Hillsborough,17580.1224,12555.1004,12530.4021,50,58
120570045003,Hillsborough,18402.6105,12637.9181,12611.1868,28,48
120570045004,Hillsborough,17693.3259,12603.1661,12577.9095,44,52
120570045005,Hillsborough,18117.9711,12744.2851,12717.5675,34,40
120570046011,Hillsborough,17944.5313,13261.2022,13240.5253,36,8
120570046012,Hillsborough,16840.9194,13163.9912,13147.7865,71,12
120570046021,Hillsborough,14421.9298,13030.7542,13027.8054,149,16
120570047001,Hillsborough,17618.7690,13713.1283,13696.1200,49,3
120570047002,Hillsborough,17620.1450,13264.2206,13244.0782,48,6
120570047003,Hillsborough,17546.2108,13327.6205,13308.1646,52,4
120570048001,Hillsborough,18828.7603,12991.8315,12964.0901,23,17
120570048002,Hillsborough,18356.1844,12667.4660,12639.7012,30,45
120570048003,Hillsborough,18186.8150,12549.2102,12521.7396,33,60
120570048004,Hillsborough,17993.4740,12408.2621,12381.0657,35,84
120570048005,Hillsborough,18367.6916,12445.2654,12416.9659,29,81
120570048006,Hillsborough,17885.6864,12478.6071,12452.8656,38,72
120570049011,Hillsborough,19562.1439,12457.2684,12422.0963,12,78
120570049012,Hillsborough,18724.0006,13207.4495,13180.7874,24,10
120570049021,Hillsborough,18271.3746,12748.2806,12722.3132,31,39
120570049022,Hillsborough,17686.0735,12407.8932,12382.7699,45,85
120570049023,Hillsborough,17845.5919,12497.4998,12472.1529,40,67
120570050001,Hillsborough,20117.1364,12917.3176,12882.0666,7,22
120570050002,Hillsborough,20063.4230,12816.8577,12782.7926,8,32
120570050003,Hillsborough,21166.0095,12882.8711,12847.4746,3,27
120570051011,Hillsborough,22231.2517,13738.3163,13702.4333,2,2
120570051012,Hillsborough,23789.2826,14204.2147,14168.1608,1,1
120570051021,Hillsborough,16635.9461,11486.1994,11460.9054,78,171
120570051022,Hillsborough,18628.8400,12044.1777,12016.8933,26,125
120570051023,Hillsborough,16896.4357,11639.5250,11613.7858,68,154
120570053011,Hillsborough,19601.0579,12367.8714,12337.5264,10,89
120570053012,Hillsborough,13027.2880,12381.0716,12380.8453,207,88
120570053013,Hillsborough,20236.9697,12796.0984,12764.7871,4,35
120570053021,Hillsborough,11742.3473,9914.3982,9907.2239,272,318
120570053022,Hillsborough,14088.8149,11111.4359,11098.0483,159,206
120570054011,Hillsborough,10256.3566,8355.1494,8347.3732,453,608
120570054012,Hillsborough,11723.2382,9384.0323,9374.1517,274,398
120570054013,Hillsborough,13067.3179,9498.4094,9483.1148,205,378
120570054014,Hillsborough,15840.2655,11704.0427,11685.3675,107,148
120570054015,Hillsborough,14021.8666,9968.7685,9951.1275,160,311
120570054016,Hillsborough,13846.2531,9700.5537,9683.0186,169,351
120570055001,Hillsborough,19542.9613,12294.0165,12259.6245,13,97
120570055002,Hillsborough,20166.1058,12339.5718,12306.2452,6,92
120570055003,Hillsborough,19610.0793,12438.3092,12403.0975,9,82
120570057001,Hillsborough,17743.4892,12546.7823,12521.8128,42,61
120570057002,Hillsborough,17701.4333,12491.9929,12466.8470,43,69
120570057003,Hillsborough,17923.8994,12570.1971,12544.5968,37,55
120570057004,Hillsborough,17124.2611,12755.2736,12735.1867,63,38
120570058001,Hillsborough,17335.3147,13263.3465,13244.6439,57,7
120570058002,Hillsborough,17298.2726,13079.0178,13058.9939,58,14
120570058003,Hillsborough,16613.9349,12464.7931,12445.3747,80,76
120570058004,Hillsborough,15745.2119,12058.9371,12041.8220,109,122
120570058005,Hillsborough,15704.9880,11986.7162,11969.6636,111,128
120570059001,Hillsborough,14958.8903,12305.8029,12294.2330,137,96
120570059002,Hillsborough,16953.4896,13233.0457,13217.0036,66,9
120570059003,Hillsborough,15296.7612,11747.4353,11730.4432,127,143
120570059004,Hillsborough,11960.0248,11519.9303,11519.9204,254,167
120570059005,Hillsborough,13040.0595,10791.6138,10781.4399,206,230
120570059006,Hillsborough,13720.0264,11121.9708,11110.4968,175,204
120570060001,Hillsborough,17552.5739,12467.6115,12443.5854,51,75
120570060002,Hillsborough,17457.0847,12288.9675,12264.0571,54,98
120570060003,Hillsborough,16199.8461,11865.8677,11844.7592,93,138
120570060004,Hillsborough,15132.5254,11682.7391,11667.7358,133,150
120570060005,Hillsborough,16023.0855,11741.9017,11720.9209,100,144
120570060006,Hillsborough,15844.2423,11630.8795,11610.1267,105,157
120570060007,Hillsborough,16137.8475,12059.1376,12040.6650,96,121
120570061011,Hillsborough,16839.9105,11724.1464,11699.6292,72,147
120570061012,Hillsborough,16557.1297,11662.7010,11639.2188,84,151
120570061013,Hillsborough,16301.8707,11477.2983,11453.8744,89,173
120570061014,Hillsborough,16074.2806,11532.3475,11510.1337,98,165
120570061031,Hillsborough,15919.6830,11888.6194,11868.5787,103,136
120570061032,Hillsborough,15640.9166,11445.4679,11424.9109,112,177
120570061033,Hillsborough,14427.1884,11402.9916,11388.7378,148,180
120570061034,Hillsborough,15508.0733,11379.2543,11358.9132,122,184
120570062001,Hillsborough,16145.8776,12199.0527,12180.8460,95,108
120570062002,Hillsborough,15619.6176,12115.9647,12099.2642,114,118
120570062003,Hillsborough,15486.8253,11941.8349,11925.8245,123,133
120570062004,Hillsborough,14466.8775,11551.8168,11538.3914,147,162
120570063001,Hillsborough,14690.3898,11518.2930,11503.4124,142,168
120570063002,Hillsborough,15750.7900,12105.6148,12088.2613,108,119
120570063003,Hillsborough,11665.0975,11163.6051,11163.5308,280,202
120570063004,Hillsborough,15176.6768,12045.8488,12030.9101,131,124
120570064001,Hillsborough,13493.1943,11165.8653,11155.4228,182,201
