roadway,begin_post,end_post,facility,match_m,class_is_a_guess
14030000,7.71,11.474,freeway,146,no
10060000,19.267,22.033,principal arterial,339,no
15020000,13.207,13.839,minor arterial,115,no
14580000,3.019,5.386,minor arterial,171,no
14140021,0.0,0.297,freeway,31,no
14560000,0.0,1.02,minor arterial,293,no
10140105,0.0,0.554,freeway,100,no
14120000,3.028,9.257,minor arterial,2,no
14000117,0.0,1.969,collector,266,no
10550000,0.0,6.018,minor arterial,129,no
10003000,10.065,10.766,principal arterial,95,no
10120000,0.0,1.69,minor arterial,19,no
14030000,16.996,19.688,freeway,75,no
15000181,0.0,2.707,minor arterial,137,no
15000152,0.322,1.36,collector,52,no
08060000,2.049,6.041,freeway,1060,yes
10340000,8.871,10.752,principal arterial,35,no
15000214,0.0,1.255,principal arterial,11,no
10150000,4.849,6.019,principal arterial,49,no
02010000,4.651,5.994,principal arterial,10,no
10110000,11.456,13.487,freeway,34,no
15010000,3.765,4.638,principal arterial,32,no
14030000,0.626,2.511,freeway,17,no
14000080,0.0,3.891,minor arterial,357,no
15040000,1.661,1.913,principal arterial,35,no
10110000,19.498,23.74,collector,292,no
10000047,0.0,3.76,collector,305,no
10290000,6.184,7.829,principal arterial,121,no
10000276,0.0,1.481,minor arterial,181,no
14507000,0.0,3.066,collector,329,no
10000619,0.591,1.812,minor arterial,144,no
15000307,0.0,0.524,minor arterial,74,no
10340000,0.0,0.756,principal arterial,7,no
14570000,0.0,0.875,principal arterial,61,no
14120000,26.634,29.098,minor arterial,265,no
15120000,4.035,4.545,principal arterial,3,no
14580001,0.0,1.249,collector,50,no
02000006,0.0,5.336,collector,806,yes
10040000,5.17,5.692,principal arterial,33,no
15007000,1.535,2.283,principal arterial,21,no
10060000,0.0,4.491,principal arterial,1362,yes
14000061,0.0,8.077,collector,575,yes
15100000,0.111,1.763,principal arterial,84,no
14090000,25.267,28.651,collector,539,yes
10075354,0.0,0.718,freeway,49,no
14010000,11.342,19.811,principal arterial,790,yes
10020000,5.887,6.365,principal arterial,17,no
