GEOID20,county,TotPop,AutoOwn0,HH_est,zero_car_share,no_transit,transit_share,A_drive,A_transit
120570003004,Hillsborough,2062,194,633,0.30647709320695105,False,0.5739085397214033,117643,158455.0
120570003005,Hillsborough,776,128,321,0.3987538940809969,False,0.5937482560670265,109196,159593.0
120570003006,Hillsborough,1293,26,430,0.06046511627906977,False,0.6137382630699895,99676,158377.0
120570004011,Hillsborough,818,44,300,0.14666666666666667,False,0.5486406970247242,103401,125687.0
120570004012,Hillsborough,863,56,301,0.18604651162790697,False,0.4243331956112565,100318,73946.0
120570004013,Hillsborough,1020,35,322,0.10869565217391304,False,0.3621259006096434,110490,62726.0
120570004021,Hillsborough,1477,50,583,0.08576329331046312,False,0.5814772500589377,115393,160322.0
120570004022,Hillsborough,629,0,259,0.0,False,0.5745252398457814,118633,160192.0
120570004023,Hillsborough,856,35,265,0.1320754716981132,False,0.5745213607453032,118606,160153.0
120570005001,Hillsborough,880,11,319,0.034482758620689655,True,0.0,93319,0.0
120570005002,Hillsborough,715,20,350,0.05714285714285714,False,0.5376478507548803,100968,117411.0
120570005003,Hillsborough,1060,0,448,0.0,False,0.624568066893188,117232,195027.0
120570005004,Hillsborough,1268,21,486,0.043209876543209874,False,0.5338310621640224,110393,126416.0
120570006011,Hillsborough,1058,38,372,0.10215053763440861,False,0.5252159375870716,122688,135720.0
120570006012,Hillsborough,2129,70,682,0.10263929618768329,False,0.5334156396909433,125849,143875.0
120570006013,Hillsborough,2248,10,943,0.010604453870625663,False,0.2594734860074846,125851,44097.0
120570006021,Hillsborough,1838,35,675,0.05185185185185185,False,0.5479995995862391,135460,164230.0
120570006022,Hillsborough,862,33,350,0.09428571428571429,False,0.5511762139669116,133745,164245.0
120570007001,Hillsborough,2436,245,755,0.32450331125827814,False,0.5731958614846673,118888,159666.0
120570007002,Hillsborough,1355,83,383,0.21671018276762402,False,0.5616826281290396,124444,159469.0
120570007003,Hillsborough,1189,67,430,0.1558139534883721,False,0.4089195329788125,119932,82971.0
120570007004,Hillsborough,1346,88,533,0.1651031894934334,False,0.3969378795829199,116078,76403.0
120570008001,Hillsborough,2101,74,748,0.09893048128342247,False,0.6087251468228713,102667,159724.0
120570008002,Hillsborough,1452,77,544,0.14154411764705882,False,0.5911267745100687,90841,131333.0
120570009011,Hillsborough,785,87,435,0.2,False,0.6183569089693085,98720,159951.0
120570009012,Hillsborough,980,86,387,0.2222222222222222,False,0.6281448768814157,94475,159589.0
120570009013,Hillsborough,1026,6,254,0.023622047244094488,False,0.6221452100758011,92568,152415.0
120570009021,Hillsborough,2684,206,1256,0.16401273885350318,False,0.6769029609890929,97606,204489.0
120570009022,Hillsborough,556,76,318,0.2389937106918239,False,0.5785364659813999,103326,141834.0
120570009023,Hillsborough,1250,196,599,0.327212020033389,False,0.6198783076960621,93459,152407.0
120570010011,Hillsborough,2102,150,731,0.2051983584131327,False,0.5030719774785056,104498,105790.0
